Navn,Year,Month,Day,Felt,Trafikkmengde,Sykkel
Hansine Hansens veg,2021,9,29,Totalt,4596,0
Hansine Hansens veg,2021,9,30,1,2217,0
Hansine Hansens veg,2021,9,30,2,2225,0
Hansine Hansens veg,2021,9,30,Totalt,4442,0
Hansine Hansens veg,2021,10,1,1,2070,0
Hansine Hansens veg,2021,10,1,2,2116,0
Hansine Hansens veg,2021,10,1,Totalt,4186,0
Hansine Hansens veg,2021,10,2,1,569,0
Hansine Hansens veg,2021,10,2,2,564,0
Hansine Hansens veg,2021,10,2,Totalt,1133,0
Hansine Hansens veg,2021,10,3,1,563,0
Hansine Hansens veg,2021,10,3,2,552,0
Hansine Hansens veg,2021,10,3,Totalt,1115,0
Hansine Hansens veg,2021,10,4,1,2410,0
Hansine Hansens veg,2021,10,4,2,2401,0
Hansine Hansens veg,2021,10,4,Totalt,4811,0
Hansine Hansens veg,2021,10,5,1,2230,0
Hansine Hansens veg,2021,10,5,2,2269,0
Hansine Hansens veg,2021,10,5,Totalt,4499,0
Hansine Hansens veg,2021,10,6,1,2273,0
Hansine Hansens veg,2021,10,6,2,2393,0
Hansine Hansens veg,2021,10,6,Totalt,4666,0
Hansine Hansens veg,2021,10,7,1,2096,0
Hansine Hansens veg,2021,10,7,2,2146,0
Hansine Hansens veg,2021,10,7,Totalt,4242,0
Hansine Hansens veg,2021,10,8,1,1877,0
Hansine Hansens veg,2021,10,8,2,1895,0
Hansine Hansens veg,2021,10,8,Totalt,3772,0
Hansine Hansens veg,2021,10,9,1,604,0
Hansine Hansens veg,2021,10,9,2,582,0
Hansine Hansens veg,2021,10,9,Totalt,1186,0
Hansine Hansens veg,2021,10,10,1,662,0
Hansine Hansens veg,2021,10,10,2,645,0
Hansine Hansens veg,2021,10,10,Totalt,1307,0
Hansine Hansens veg,2021,10,11,1,2345,0
Hansine Hansens veg,2021,10,11,2,2352,0
Hansine Hansens veg,2021,10,11,Totalt,4697,0
Hansine Hansens veg,2021,10,12,1,2497,0
Hansine Hansens veg,2021,10,12,2,2531,0
Hansine Hansens veg,2021,10,12,Totalt,5028,0
Hansine Hansens veg,2021,10,13,1,2424,0
Hansine Hansens veg,2021,10,13,2,2482,0
Hansine Hansens veg,2021,10,13,Totalt,4906,0
Hansine Hansens veg,2021,10,14,1,2460,0
Hansine Hansens veg,2021,10,14,2,2506,0
Hansine Hansens veg,2021,10,14,Totalt,4966,0
Hansine Hansens veg,2021,10,15,1,2259,0
Hansine Hansens veg,2021,10,15,2,2316,0
Hansine Hansens veg,2021,10,15,Totalt,4575,0
Hansine Hansens veg,2021,10,16,1,644,0
Hansine Hansens veg,2021,10,16,2,606,0
Hansine Hansens veg,2021,10,16,Totalt,1250,0
Hansine Hansens veg,2021,10,17,1,630,0
Hansine Hansens veg,2021,10,17,2,597,0
Hansine Hansens veg,2021,10,17,Totalt,1227,0
Hansine Hansens veg,2021,10,18,1,2322,0
Hansine Hansens veg,2021,10,18,2,2354,0
Hansine Hansens veg,2021,10,18,Totalt,4676,0
Hansine Hansens veg,2021,10,19,1,2387,0
Hansine Hansens veg,2021,10,19,2,2447,0
Hansine Hansens veg,2021,10,19,Totalt,4834,0
Hansine Hansens veg,2021,10,20,1,2346,0
Hansine Hansens veg,2021,10,20,2,2393,0
Hansine Hansens veg,2021,10,20,Totalt,4739,0
Hansine Hansens veg,2021,10,21,1,2208,0
Hansine Hansens veg,2021,10,21,2,2280,0
